jahr,studierende_gesamt,quelle_studierende
2013,2616881,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2014,2698910,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2015,2757799,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2016,2807010,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2017,2844978,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2018,2868222,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2019,2891049,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2020,2944145,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2021,2941915,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2022,2920263,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2023,2868311,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
2024,2864122,"Destatis, Fachserie 11 Reihe 4.1, Tabelle lrbil01"
