jahr,studierende_gesamt,bafoeg_studierende,Werk,stip_gesamt_werk,stip_bafoeg_Nein,stip_bafoeg_Ja,stip_bafoeg_anteil
2013,2616881,665928,AVICENNA,0,0,0,NA
2013,2616881,665928,CUS,1251,550,701,0.5603517186250999
2013,2616881,665928,ELES,207,57,150,0.7246376811594203
2013,2616881,665928,ESW,1188,487,701,0.5900673400673401
2013,2616881,665928,FES,2053,904,1149,0.5596687773989284
2013,2616881,665928,FNS,722,381,341,0.47229916897506924
2013,2616881,665928,HBS,2212,366,1846,0.8345388788426763
2013,2616881,665928,HSS,1134,524,610,0.5379188712522046
2013,2616881,665928,KAS,2709,1539,1170,0.4318936877076412
2013,2616881,665928,RLS,855,159,696,0.8140350877192982
2013,2616881,665928,SDW,1434,741,693,0.48326359832635984
2013,2616881,665928,StS,11195,6751,4444,0.39696292987941045
2013,2616881,665928,hbs,864,291,573,0.6631944444444444
2014,2698910,646576,AVICENNA,50,4,46,0.92
2014,2698910,646576,CUS,1253,584,669,0.5339185953711093
2014,2698910,646576,ELES,237,61,76,0.5547445255474452
2014,2698910,646576,ESW,1227,542,685,0.5582722086389568
2014,2698910,646576,FES,2176,990,1186,0.5450367647058824
2014,2698910,646576,FNS,775,431,344,0.44387096774193546
2014,2698910,646576,HBS,2151,325,1826,0.8489074848907485
2014,2698910,646576,HSS,1151,571,580,0.5039096437880104
2014,2698910,646576,KAS,2728,1614,1114,0.4083577712609971
2014,2698910,646576,RLS,861,153,708,0.8222996515679443
2014,2698910,646576,SDW,1441,785,656,0.45523941707147814
2014,2698910,646576,StS,11858,7221,4637,0.3910440209141508
2014,2698910,646576,hbs,966,343,618,0.6430801248699272
2015,2757799,611377,AVICENNA,116,10,106,0.9137931034482759
2015,2757799,611377,CUS,1341,677,664,0.49515287099179717
2015,2757799,611377,ELES,259,59,201,0.7730769230769231
2015,2757799,611377,ESW,1276,611,665,0.5211598746081505
2015,2757799,611377,FES,2183,1019,1164,0.5332111772789739
2015,2757799,611377,FNS,801,458,343,0.4282147315855181
2015,2757799,611377,HBS,2214,334,1880,0.8491418247515808
2015,2757799,611377,HSS,1175,632,543,0.4621276595744681
2015,2757799,611377,KAS,2692,1663,1029,0.38224368499257055
2015,2757799,611377,RLS,893,141,752,0.8421052631578947
2015,2757799,611377,SDW,1508,865,643,0.42639257294429705
2015,2757799,611377,StS,12158,7927,4231,0.34800131600592205
2015,2757799,611377,hbs,1013,387,625,0.6175889328063241
2016,2807010,583567,AVICENNA,220,21,199,0.9045454545454545
2016,2807010,583567,CUS,1450,805,645,0.44482758620689655
2016,2807010,583567,ELES,263,65,198,0.752851711026616
2016,2807010,583567,ESW,1340,656,684,0.5104477611940299
2016,2807010,583567,FES,2168,1014,1154,0.5322878228782287
2016,2807010,583567,FNS,852,511,341,0.40023474178403756
2016,2807010,583567,HBS,2274,347,1927,0.8474054529463501
2016,2807010,583567,HSS,1276,688,588,0.4608150470219436
2016,2807010,583567,KAS,2743,1745,998,0.36383521691578563
2016,2807010,583567,RLS,892,120,772,0.8654708520179372
2016,2807010,583567,SDW,1577,935,642,0.40710209258084973
2016,2807010,583567,StS,12879,8539,4340,0.33698268499107076
2016,2807010,583567,hbs,955,392,563,0.5895287958115183
2017,2844978,556573,AVICENNA,313,31,282,0.9009584664536742
2017,2844978,556573,CUS,1608,966,642,0.39925373134328357
2017,2844978,556573,ELES,287,81,206,0.7177700348432056
2017,2844978,556573,ESW,1375,691,673,0.4934017595307918
2017,2844978,556573,FES,2256,1067,1189,0.5270390070921985
2017,2844978,556573,FNS,928,603,325,0.35021551724137934
2017,2844978,556573,HBS,2387,360,2027,0.8491830749895266
2017,2844978,556573,HSS,1358,757,601,0.4425625920471281
2017,2844978,556573,KAS,2669,1743,926,0.34694642188085423
2017,2844978,556573,RLS,899,140,759,0.84427141268075645
2017,2844978,556573,SDW,1628,972,656,0.40294840294840295
2017,2844978,556573,StS,12749,8504,4245,0.3329672915522786
2017,2844978,556573,hbs,994,452,543,0.5457286432160804
2018,2868222,517675,AVICENNA,392,44,348,0.8877551020408163
2018,2868222,517675,CUS,1737,1067,670,0.3857225100748417
2018,2868222,517675,ELES,289,91,198,0.6851211072664359
