jahr,studierende_gesamt,bafoeg_studierende,Werk,stip_gesamt_werk,stip_bafoeg_Nein,stip_bafoeg_Ja,stip_bafoeg_anteil,stip_von_bafoeg,stip_von_nichtbafoeg
2013,2616881,665928,AVICENNA,0,0,0,NA,0,0
2013,2616881,665928,CUS,1251,550,701,0.5603517186250999,0.0010526663543205873,2.819135058609818e-4
2013,2616881,665928,ELES,207,57,150,0.7246376811594203,2.2524957653079612e-4,2.921649060741084e-5
2013,2616881,665928,ESW,1188,487,701,0.5900673400673401,0.0010526663543205873,2.49621595189633e-4
2013,2616881,665928,FES,2053,904,1149,0.5596687773989284,0.0017254117562258984,4.633632896333228e-4
2013,2616881,665928,FNS,722,381,341,0.47229916897506924,5.120673706466765e-4,1.9528917406006193e-4
2013,2616881,665928,HBS,2212,366,1846,0.8345388788426763,0.002772071455172331,1.8760062390021698e-4
2013,2616881,665928,HSS,1134,524,610,0.5379188712522046,9.160149445585709e-4,2.685866855839172e-4
2013,2616881,665928,KAS,2709,1539,1170,0.4318936877076412,0.0017569466969402097,7.888452464000926e-4
2013,2616881,665928,RLS,855,159,696,0.8140350877192982,0.001045158035102894,8.149863169435656e-5
2013,2616881,665928,SDW,1434,741,693,0.48326359832635984,0.001040653043572278,3.798143778963409e-4
2013,2616881,665928,StS,11195,6751,4444,0.39696292987941045,0.00667339412068572,0.0034603601419408874
2013,2616881,665928,hbs,864,291,573,0.6631944444444444,8.604533823476411e-4,1.491578731009922e-4
2014,2698910,646576,AVICENNA,50,4,46,0.92,7.11439954467843e-5,1.94900050381663e-6
2014,2698910,646576,CUS,1253,584,669,0.5339185953711093,0.0010346811511717108,2.8455407355722803e-4
2014,2698910,646576,ELES,237,61,76,0.5547445255474452,1.1754225334686101e-4,2.972225768320361e-5
2014,2698910,646576,ESW,1227,542,685,0.5582722086389568,0.0010594268887184183,2.640895682671534e-4
2014,2698910,646576,FES,2176,990,1186,0.5450367647058824,0.0018342777956496994,4.82377624694616e-4
2014,2698910,646576,FNS,775,431,344,0.44387096774193546,5.32033357254213e-4,2.100048042862419e-4
2014,2698910,646576,HBS,2151,325,1826,0.8489074848907485,0.0028241072975180026,1.5835629093510122e-4
2014,2698910,646576,HSS,1151,571,580,0.5039096437880104,8.970329860681497e-4,2.78219821919824e-4
2014,2698910,646576,KAS,2728,1614,1114,0.4083577712609971,0.0017229219766895152,7.864217032900103e-4
2014,2698910,646576,RLS,861,153,708,0.8222996515679443,0.0010949988864418104,7.45492692709861e-5
2014,2698910,646576,SDW,1441,785,656,0.45523941707147814,0.0010145752394150108,3.824913488740137e-4
2014,2698910,646576,StS,11858,7221,4637,0.3910440209141508,0.0071716240627551905,0.0035184331595149716
2014,2698910,646576,hbs,966,343,618,0.6430801248699272,9.558041127415803e-4,1.6712679320227605e-4
2015,2757799,611377,AVICENNA,116,10,106,0.9137931034482759,1.7337910978005387e-4,4.658916093852933e-6
2015,2757799,611377,CUS,1341,677,664,0.49515287099179717,0.0010860729140939225,3.1540861955384354e-4
2015,2757799,611377,ELES,259,59,201,0.7730769230769231,3.287660477904795e-4,2.7487604953732304e-5
2015,2757799,611377,ESW,1276,611,665,0.5211598746081505,0.0010877085660729795,2.846597733344142e-4
2015,2757799,611377,FES,2183,1019,1164,0.5332111772789739,0.0019038989036224785,4.7474354996361384e-4
2015,2757799,611377,FNS,801,458,343,0.4282147315855181,5.610286288165894e-4,2.1337835709846434e-4
2015,2757799,611377,HBS,2214,334,1880,0.8491418247515808,0.0030750257206273706,1.5560779753468797e-4
2015,2757799,611377,HSS,1175,632,543,0.4621276595744681,8.881590246280119e-4,2.9444349713150537e-4
2015,2757799,611377,KAS,2692,1663,1029,0.38224368499257055,0.0016830858864497684,7.747777464077427e-4
2015,2757799,611377,RLS,893,141,752,0.8421052631578947,0.0012300102882509482,6.569071692332636e-5
2015,2757799,611377,SDW,1508,865,643,0.42639257294429705,0.001051724222533723,4.029962421182787e-4
2015,2757799,611377,StS,12158,7927,4231,0.34800131600592205,0.006920443523390641,0.0036931227875972197
2015,2757799,611377,hbs,1013,387,625,0.6175889328063241,0.001022282486910695,1.803000528321085e-4
2016,2807010,583567,AVICENNA,220,21,199,0.9045454545454545,3.41006259778226e-4,9.444811492806427e-6
2016,2807010,583567,CUS,1450,805,645,0.44482758620689655,0.0011052715455123405,3.6205110722424636e-4
2016,2807010,583567,ELES,263,65,198,0.752851711026616,3.39292660482858e-4,2.9233940334877035e-5
2016,2807010,583567,ESW,1340,656,684,0.5104477611940299,0.0011721019180316913,2.950379209181436e-4
2016,2807010,583567,FES,2168,1014,1154,0.5322878228782287,0.0019774935868546372,4.560494692240818e-4
2016,2807010,583567,FNS,852,511,341,0.40023474178403756,5.843373597204777e-4,2.2982374632495638e-4
2016,2807010,583567,HBS,2274,347,1927,0.8474054529463501,0.0033021058421740775,1.560642660954205e-4
2016,2807010,583567,HSS,1276,688,588,0.4608150470219436,0.0010075963856763662,3.094300146214677e-4
2016,2807010,583567,KAS,2743,1745,998,0.36383521691578563,0.0017101720967772338,7.848188597593911e-4
2016,2807010,583567,RLS,892,120,772,0.8654708520179372,0.0013228986560240726,5.3970351387465295e-5
2016,2807010,583567,SDW,1577,935,642,0.40710209258084973,0.0011001307476262365,4.205189878940004e-4
2016,2807010,583567,StS,12879,8539,4340,0.33698268499107076,0.007437020941896988,0.0038404402541463846
2016,2807010,583567,hbs,955,392,563,0.5895287958115183,9.64756403292167e-4,1.7630314786571996e-4
2017,2844978,556573,AVICENNA,313,31,282,0.9009584664536742,5.06672080751312e-4,1.3546553166943788e-5
2017,2844978,556573,CUS,1608,966,642,0.39925373134328357,0.0011534875029870295,4.2212807610540965e-4
2017,2844978,556573,ELES,287,81,206,0.7177700348432056,3.701221582793272e-4,3.539583246846603e-5
2017,2844978,556573,ESW,1375,691,673,0.4934017595307918,0.0012091854976795497,3.019570399470374e-4
2017,2844978,556573,FES,2256,1067,1189,0.5270390070921985,0.002136287602884078,4.662636202944846e-4
2017,2844978,556573,FNS,928,603,325,0.35021551724137934,5.839305895183561e-4,2.635023083763582e-4
2017,2844978,556573,HBS,2387,360,2027,0.8491830749895266,0.0036419301690883317,1.5731481097096012e-4
2017,2844978,556573,HSS,1358,757,601,0.4425625920471281,0.0010798224132324062,3.307980886250467e-4
2017,2844978,556573,KAS,2669,1743,926,0.34694642188085423,0.0016637530027507623,7.616658764510653e-4
2017,2844978,556573,RLS,899,140,759,0.84427141268075645,0.0013637025152136377,6.117798204426228e-5
2017,2844978,556573,SDW,1628,972,656,0.40294840294840295,0.001178641436073974,4.2474998962159234e-4
2017,2844978,556573,StS,12749,8504,4245,0.3329672915522786,0.007627031853862836,0.0037161254236029026
2017,2844978,556573,hbs,994,452,543,0.5457286432160804,9.756132618722073e-4,1.9751748488576105e-4
2018,2868222,517675,AVICENNA,392,44,348,0.8877551020408163,6.72236441782972e-4,1.8719047098398798e-5
2018,2868222,517675,CUS,1737,1067,670,0.3857225100748417,0.0012942483218235379,4.5393689213617087e-4
2018,2868222,517675,ELES,289,91,198,0.6851211072664359,3.82479354807553e-4,3.871439286259752e-5
2018,2868222,517675,ESW,1441,744,697,0.48369188063844554,0.0013464045974791133,3.1652206911837966e-4
2018,2868222,517675,FES,2299,1171,1128,0.49064810787298824,0.0021789732940551503,4.98181912550568e-4
2018,2868222,517675,FNS,1008,680,328,0.3253968253968254,6.336021635195828e-4,2.8929436424798144e-4
